Aech,Cpla,Dqua,Hsal,Obir,Orug,Sinv,Aech_baseMean,Aech_log2FoldChange,Aech_pvalue,Aech_padj,Cpla_baseMean,Cpla_log2FoldChange,Cpla_pvalue,Cpla_padj,Dqua_baseMean,Dqua_log2FoldChange,Dqua_pvalue,Dqua_padj,Hsal_baseMean,Hsal_log2FoldChange,Hsal_pvalue,Hsal_padj,Orug_baseMean,Orug_log2FoldChange,Orug_pvalue,Orug_padj,Obir_baseMean,Obir_log2FoldChange,Obir_pvalue,Obir_padj,Sinv_baseMean,Sinv_log2FoldChange,Sinv_pvalue,Sinv_padj
Aech|LOC105153097,Cpla|SGF61405,Dqua|LOC106749891,Hsal|LOC105181067,Obir|LOC105281216,Orug|SGF68562,Sinv|LOC105201217,839.8295501541901,-0.00559132635777458,0.97496469459046,0.988966003413011,1285.92764222,0.142615272022,0.008954784112239999,0.025891559396,1510.15712007623,0.0815548868221484,0.714413207220908,0.8926764518183941,410.754490171516,-0.0452283307899907,0.7433384634208141,0.9681182499461808,1425.66555832,0.103855122883,0.323919826289,0.47173469937299994,2227.75413285127,0.4326532674933879,0.00287754007080877,0.0416552542760562,391.232256237042,-0.0515177296913904,0.421667683631997,0.5858764272407659
Aech|LOC105144379,Cpla|SGF47786,Dqua|LOC106743402,Hsal|LOC105181117,Obir|LOC105282301,Orug|SGF65534,Sinv|LOC105194815,244.78448711116297,1.4608572838641598,2.03700000487289e-08,6.07277060276252e-07,217.219737379,0.21852013957,0.109415918228,0.19651782299000004,1583.7592744080403,0.38569271017593304,0.314930528480461,0.674790614178507,96.53547108639792,-0.19460319587581,0.276856458393807,0.875791105411414,86.9545792421,0.0370600442963,0.8362979211730001,0.891569966449,793.9782896935069,-0.0077357429799857,0.963926457981468,0.992220707040405,226.248598220069,0.42366168212359795,0.000122138178206501,0.000780647318253816
Aech|LOC105154742,Cpla|SGF57622,Dqua|LOC106742675,Hsal|LOC105184475,Obir|LOC105281047,Orug|SGF78634,Sinv|LOC105203057,306.311466096809,-0.0772847501873787,0.6244275189195531,0.783978068168078,435.592463515,-1.97830828317,1.82096877719e-08,3.29518125645e-07,249.29973146207902,-0.438131711189512,0.0620497891805556,0.33308189954924705,251.471157077116,-0.18866251290889105,0.290845151984021,0.87876753703612,478.187981542,-1.2409273544,1.26057244623e-06,1.56374275673e-05,2189.0246605091397,-0.10390887193655199,0.607203423905884,0.871456239967196,407.541439101855,0.26006942566679603,0.00516131212124949,0.0190387783782933
Aech|LOC105151083,Cpla|SGF65369,Dqua|LOC106742289,Hsal|LOC105180743,Obir|LOC105287676,Orug|SGF86030,Sinv|LOC105198509,92.57605741438309,0.8415574191952071,0.008401889869201809,0.0420410502481969,26.7817668306,0.260448921248,0.48984661765,0.621195576481,902.4599924905209,0.18541780097201602,0.534998705226795,0.8107744519295379,5.51944681428921,0.29148954610472,0.354554647731247,,14.8737326506,0.389416353513,0.463777961633,0.605464068978,83.6846421267179,-0.16600329070406697,0.4616900384900471,0.7894153562766569,45.880269126933605,0.219733281117448,0.386030872958099,0.5510584117993771
Aech|LOC105149040,Cpla|SGF52740,Dqua|LOC106748414,Hsal|LOC105185999,Obir|LOC105277964,Orug|SGF81562,Sinv|LOC105200782,102.32353925976601,1.4641317752207,3.3643149888707197e-10,1.58435417816598e-08,72.9629267414,-0.292644117698,0.140632222049,0.23994896825399997,1946.21662679754,-0.24468428910193,0.502471393754766,0.7934326422926071,137.015657752475,-0.6742598603174971,0.000632837608466424,0.0991126331898224,87.02694707180001,0.255882469219,0.471750583867,0.612366957552,1136.70118260131,0.17920479507505802,0.234553000472615,0.608615149738751,867.414114352408,0.7624305952514321,0.000251170572221919,0.00146696605758922
Aech|LOC105150284,Cpla|SGF53503,Dqua|LOC106745222,Hsal|LOC105189389,Obir|LOC105285195,Orug|SGF60150,Sinv|LOC105207463,21742.949479876002,0.931173697191887,,,5219.58729154,0.502077789915,9.37724755759e-07,1.00276661837e-05,12929.5661981952,0.25277432449184695,0.43895644650938,0.758096581109668,1184.7351833502698,-0.0732081181248637,0.660174102451654,0.962357873978161,731.662833862,0.0521273744532,0.7797649521369999,0.853482563344,5379.48922337488,-0.41302708095065294,0.00539041950422373,0.063346433216117,2727.72324674997,0.71782415766176,4.95262873664953e-14,2.1417484909021597e-12
Aech|LOC105150895,Cpla|SGF49446,Dqua|LOC106748000,Hsal|LOC105185030,Obir|LOC105278832,Orug|SGF85661,Sinv|LOC105193959,85.8908975016822,-0.210961221758416,0.512055540122052,0.7052664447766059,442.715349149,-0.38153604819,0.0110953118685,0.0308078894619,73.48663648137071,-0.320496541231302,0.341185842507548,0.6951964790095789,89.7835795892072,0.0590692625950328,0.8144033216476071,0.979074933243366,411.32928465599997,-0.846478017482,2.45001471216e-07,3.7098077725199997e-06,1150.92931083636,-0.342859964434985,0.0239807174565188,0.170992237377461,20.050009568113698,0.33758293923666305,0.0562861065641094,0.131044114079671
Aech|LOC105149705,Cpla|SGF52341,Dqua|LOC106740783,Hsal|LOC105184230,Obir|LOC105275661,Orug|SGF70607,Sinv|LOC105207613,19.1326409627531,1.13107347713114,,,367.80510430199996,1.04773098431,2.6383719182700003e-09,6.22110227003e-08,885.597778698821,0.36305490140572994,0.33711806956232004,0.691972014900884,69.7692986078632,0.0458858330501542,0.850240955349735,0.984874295397627,50.4595515496,0.11724208982499999,0.903938177216,0.9375985315500001,24.355832285757298,-0.092960289512149,0.711255776266706,0.9176691125243119,11.7631463000577,-0.0974613052089921,0.724729109845307,0.829539420390184
Aech|LOC105149876,Cpla|SGF62470,Dqua|LOC106746262,Hsal|LOC105191723,Obir|LOC105287631,Orug|SGF67450,Sinv|LOC105199864,632.604428035697,1.9507607013508,8.920381236732928e-14,8.872861448836322e-12,90.6373745096,0.6257056330390001,0.000247465816022,0.00124703916737,5371.633796629861,-0.3648581348625779,0.204625221545087,0.559643636385376,61.533549909834,-0.401897094257326,0.175763400320677,0.833415771216338,187.577883385,-0.579806738374,0.00474458895019,0.017815042198,76.44196346021229,-0.39285222705695205,0.11583799585482302,0.43580690561709395,63.616792681746595,0.9321546475524279,2.97399024724954e-14,1.32849124780982e-12
Aech|LOC105151526,Cpla|SGF51073,Dqua|LOC106744779,Hsal|LOC105188701,Obir|LOC105284606,Orug|SGF78381,Sinv|LOC105196790,138.811751074986,2.05531345206176,2.01625859609494e-07,4.65832796813623e-06,5.87535055794,-0.30211194516,0.603725038952,0.7166450368080001,932.670490383033,0.37955383431890294,0.27441698723837,0.640225711475648,36.9575410409928,-0.3684932569642101,0.143249774143501,0.803208477910275,113.803498324,0.419700131626,0.322336067224,0.47035238316000005,56.74561906815661,0.331549149163049,0.169530437100606,0.5243419410089961,127.70266330720699,0.4404913850631,0.00111640124107334,0.005246440514408221
Aech|LOC105146135,Cpla|SGF53700,Dqua|LOC106743062,Hsal|LOC105189013,Obir|LOC105283114,Orug|SGF71699,Sinv|LOC105206232,144.37856099952802,-0.0986370303809676,0.782587515681709,0.8863551058210529,429.61713823900004,-0.017701556784700003,0.892635035016,0.933086976646,309.354295643238,0.852376493845492,0.0240206198694343,0.20351816911856302,168.826429362483,-0.0403942379998503,0.8438759809278651,0.984874295397627,6.69719403941,-2.30691646597,0.00406719689433,0.01563592499,711.008087037854,0.343025962614524,0.12105250963283802,0.44744908376719494,12.8257403808962,0.26317770380501604,0.198119259467182,0.34397271771103194
Aech|LOC105153565,Cpla|SGF65599,Dqua|LOC106740910,Hsal|LOC105191186,Obir|LOC105274765,Orug|SGF78432,Sinv|LOC105201414,996.8918420106688,-0.709599652123356,0.00253149021513078,0.0161623577442333,1578.06232996,0.165863654078,0.00454412091936,0.0146495593224,156.937394449862,0.640134585935554,0.0575051193307225,0.32081786674748103,667.889186937601,0.28819613632399393,0.0310116201114671,0.5675760408558741,1159.61560787,-0.430826360752,0.0040123303958,0.0154651029088,586.951445262979,-0.16129722770900198,0.37645398115262,0.730010816446821,222.059394649081,0.0603261498854484,0.487633108959029,0.646378887364713
Aech|LOC105146307,Cpla|SGF62233,Dqua|LOC106746226,Hsal|LOC105191919,Obir|LOC105285243,Orug|SGF60068,Sinv|LOC105198088,275.471358127222,1.92917794938412,2.4330484050891104e-06,4.2037230804161405e-05,18.4996062941,0.57914003808,0.106614594215,0.192663641021,4535.14926367534,0.7689583864612809,0.0354172290514312,0.25001556819604603,634.28018584473,-0.803713075020158,0.00886268353378036,0.368941077244731,15.0703297464,-0.400507976035,0.457358052503,0.599989006221,137.816209220742,0.28431148800390804,0.240184339894409,0.6168569819678029,11.601467408141401,2.2390698838509704,3.99257020721472e-12,1.29838383138623e-10
Aech|LOC105153674,Cpla|SGF65383,Dqua|LOC106744466,Hsal|LOC105182483,Obir|LOC105283927,Orug|SGF63331,Sinv|LOC105207894,46653.8352611616,0.8227946525786941,0.000129233440786407,0.00133020455540592,16859.2492059,0.0935884839857,0.447668320989,0.581305246887,24138.070147922997,0.768769035461126,0.0125409251212725,0.14439857483562804,19425.0699399732,0.14198640333488,0.4293509356711429,0.920006260722662,4290.26993701,0.239297676483,0.08566225566630001,0.178979179422,110454.28610589901,0.0959240651117004,0.5512138115162211,0.83914589626813,12405.160365269,0.608196212207172,2.95894894106487e-11,8.391716822392098e-10
Aech|LOC105143928,Cpla|SGF60740,Dqua|LOC106747343,Hsal|LOC105182271,Obir|LOC105274925,Orug|SGF78560,Sinv|LOC105201619,532.268425253919,-0.544208835539561,0.303790956985075,0.518593773037618,14.2544334162,0.11396264289000001,0.724362949418,0.808643806461,344.93763284882004,-0.982281517519058,0.00342320372181579,0.067542125997362,24.4453460449728,-0.40622424541322905,0.0950267242524214,0.750964027635782,8.789269283260001,-0.683831406565,0.396012113358,0.54280939144,13.405608270215199,-0.324997351502063,0.177387152670357,,20.9229288358713,-1.3753856691539899,3.0863938852220196e-05,0.000234216387245069
Aech|LOC105147934,Cpla|SGF47915,Dqua|LOC106747788,Hsal|LOC105182795,Obir|LOC105276835,Orug|SGF77141,Sinv|LOC105203111,36.736014970377,1.72648956384893,,,17.0403553947,-2.15196884103,0.00146082338923,0.005641785069609999,570.041837234338,0.362258990376374,0.304483088587796,0.6648467918691829,76.1749986326726,0.23487831093420106,0.339307396130685,0.8863492489895451,17.5638556749,-0.561897097331,0.305582179496,0.45287749317299997,112.660792458188,-0.0321128294765072,0.88633082108379,0.969576430646052,7.4829548650179305,0.0214882941514511,0.937521916587999,0.9645708939016999
Aech|LOC105143639,Cpla|SGF60170,Dqua|LOC106749101,Hsal|LOC105184107,Obir|LOC105286259,Orug|SGF64438,Sinv|LOC105197994,37.8003910863241,-0.098119756406904,0.732764930716535,0.8586168840268721,0.21850651174199998,-0.783369100363,0.315383670576,,3.2050242351808196,0.36149556199023997,0.352507199766813,,1.5990021665855,0.10379138792305098,0.7756622816466842,,17.7799475465,-0.34485346360299995,0.271430131189,0.416314564381,17.3637662579583,0.601180722612268,0.0130432892765602,,3.7366391194863904,0.143620713761858,0.633849942695502,0.7626085291211179
Aech|LOC105154461,Cpla|SGF50253,Dqua|LOC106749067,Hsal|LOC105187223,Obir|LOC105278107,Orug|SGF69988,Sinv|LOC105204563,624.644443804396,0.0509548973423026,0.7570236882316579,0.873152234155466,412.45714436300005,0.247900571057,0.0008151698239480001,0.00345721911869,1088.80300511595,0.0403454744801091,0.835439945929847,0.9446776069013899,66.5295564955689,-0.132733613224544,0.624590518751384,0.9533110237944952,195.231258855,0.101792358793,0.442367283812,0.586447202221,2905.34572842615,0.14076897032618899,0.36198318761265097,0.72071862460126,716.952299004318,0.31227315409388695,4.4375227188748504e-07,5.4497069039958395e-06
Aech|LOC105154463,Cpla|SGF59660,Dqua|LOC106744825,Hsal|LOC105187203,Obir|LOC105275379,Orug|SGF69580,Sinv|LOC105204562,991.4365410590492,0.152305284948319,0.4181045624092489,0.6307422902511179,2103.13672955,0.22595541249499998,3.00098444807e-05,0.000205364833311,3250.75345185755,0.0704983525749362,0.7900545029276891,0.9256281615216411,51.9961095461854,-0.237342620853122,0.5007929355247249,0.93816211895778,2992.52284457,0.323225786274,0.00038128080577399994,0.00217975575195,4313.9312196151795,0.36453082139091103,0.0144393032734331,0.12229371383991901,1024.67201322902,0.196310547454973,0.000121674969385247,0.000778502755326905
Aech|LOC105153257,Cpla|SGF47734,Dqua|LOC106744733,Hsal|LOC105185845,Obir|LOC105282733,Orug|SGF81013,Sinv|LOC105194402,9529.1828652373,0.878513267788148,0.000759219627943517,0.00598546259274285,1288.08040512,0.156867662949,0.078249438548,0.150338935819,18024.4043369574,-0.37767203533182003,0.18107497730956898,0.5319329501086121,413.711151421947,-0.28673954701048804,0.00893010994377957,0.369201806327826,508.384825596,-0.0184130941169,0.897096514689,0.9330955139210001,4025.63594071625,-0.14834093869040502,0.307056738651444,0.6811665707415071,627.0228643817289,-0.0867958608877392,0.47722791940377,0.636460463378059
Aech|LOC105149806,Cpla|SGF55432,Dqua|LOC106751090,Hsal|LOC105184635,Obir|LOC105278834,Orug|SGF80426,Sinv|LOC105194594,758.822279005374,-0.110613929681226,0.5404360045349,0.7269954293089991,490.10438678400004,0.185666003002,0.008739116030850001,0.025406819089200002,1027.54245525836,0.0407798574015148,0.839375501263109,0.946430195655261,371.18003604118894,0.105265229236292,0.4079871550266621,0.91087290379978,554.200739617,0.11655478235200001,0.255141130295,0.39913593451800006,1156.7437316647,0.304233314266236,0.0534016792914448,0.27912229894136603,146.628076798794,0.762525803393435,1.98430578480517e-13,7.85669124860357e-12
Aech|LOC105149585,Cpla|SGF65400,Dqua|LOC106747157,Hsal|LOC105191941,Obir|LOC105284062,Orug|SGF74078,Sinv|LOC105204027,64407.5428247788,-0.136773378278425,0.467244437216264,0.6703804995002289,16757.9239616,0.007434061360460001,0.904306638451,0.940865833996,48795.5500081442,0.8825009252502629,0.0198784401447569,0.184794439655749,13124.734958750501,-0.0854545499889507,0.437373215368083,0.925367423942868,16534.74401,0.22264328179499998,0.0488943466238,0.116043835151,21650.3501404463,-0.707384571999021,0.000102642575447768,0.0033639350891313397,4281.8521141988895,-0.248873007709077,0.000635640996232649,0.00325152766319512
Aech|LOC105154650,Cpla|SGF63675,Dqua|LOC106751241,Hsal|LOC105190275,Obir|LOC105285665,Orug|SGF64810,Sinv|LOC105208102,1070.66927253758,0.956365121697394,4.91298591706268e-06,7.75799838505906e-05,480.25223689800004,0.395405248688,0.00016984595363100002,0.000903386519756,832.3407321516851,0.506543562839123,0.104714821419033,0.422672733958524,1047.00038114229,-0.0405204017177685,0.81153588326288,0.978060166533172,1604.63382258,0.35932177732000004,0.00852371535274,0.0288417156789,1799.50674147068,0.12280720936422501,0.49568974370113394,0.810345885430905,362.637351599244,0.505450649085557,0.000602044143060008,0.00310215277352097
